DIRECTORS,LABEL
克里斯·韦兹/保罗·韦兹,
洪尚秀,
约翰·希尔寇特,
布拉德·安德森,
贝瑞特·奈鲁利,
叶伟民,
贾樟柯,文艺作者
罗伯特·泽米吉斯,
陈果,
谢卡尔·卡普尔,
路易·马勒,
严浩,
比尔·杜克,
普拉奇亚·平克尧,
金基德,
比勒·沃道夫,
凯尔·帕特里克·奥瓦内兹,
德鲁·巴里摩尔,
克里斯蒂安·古德加斯特,
史蒂文·斯皮尔伯格,文艺作者
金周焕,
维贾伊·克利须那·阿查里雅,
洪金宝,
米克·范迪姆,
孙英胜,
克雷格·吉勒斯佩,
,
奥米史·舒克拉,
唐·罗斯,
,
朱延平,
莎莉·波特,
孙周,
佐藤祐市/村上正典/若松节朗/植田泰史/岩田和行,
罗伯特·德尼罗,
柳彰河,
高志森/宋豪辉,
丹尼斯·杜根,
小乔治·提尔曼,
约翰·摩尔,
阿尔弗雷德·希区柯克,
吉姆·艾布拉姆斯,
尼尔·乔丹,
许秦豪,
西蒙·韦斯特,
郑胤澈,
阿尔韦托·罗德里格斯,
洪金宝/元奎,
尼尔·乔丹,
植田泰史/中村亮太,
亚历桑德拉-泰雷斯·肯宁,
格兰特·斯布托尔,
关锦鹏,文艺作者
石川北二,
徐克,
黄修平,
格斯·范·桑特,
蔡宓洁,
林顺礼,
杜琪峰,
塙幸成,
金知云,
崔东勋,
嘉里·瑞德斯托姆,
罗永昌,
迈克尔·曼,
李正浩,
斯蒂芬·弗雷斯,
,
迈克尔·哈内克,文艺作者
伦纳德·尼莫伊,
李成康,
乔治·A·罗梅罗,
哈罗德·雷米斯,
洪金宝,
金成浩,
荻上直子,
邱刚健,
安德林妮·夏莉,
特瑞·吉列姆,
斯图尔特·戈登,
,
西德尼·波拉克,
李石勋,
徐辅军,
行定勋,
肯·卡皮斯,
大卫·柯南伯格,
郭子健,
,
金炫锡,
郑君里/岑范,
濑濑敬久,
谢晋,
李智媛,
许冠文,
尼可拉斯·本纳莫/菲利普·拉肖,
路易·马勒,
罗兰·约菲,
伍迪·艾伦,
卢卫国,
乔舒亚·迈克尔·斯坦,
,
谭朗昌,
罗伯特·怀斯,
陈欣健,
刘国昌,
乔纳·希尔,
楚原,
关根光才,
弗朗西斯·福特·科波拉/马丁·斯科塞斯/伍迪·艾伦,
艾拉·萨克斯,
加布里埃莱·穆奇诺,
方刚亮,
三木康一郎,
安德烈·德·托特,
弗朗索瓦·欧容,
韩延,
黄瀬和哉/むらた雅彦,
金基德,
大卫·汉密尔顿,
,
张军钊,
布莱恩·莱温特,
大卫·戈登·格林,
皮埃尔·保罗·帕索里尼,
斯蒂夫·巴伦,
月川翔,
吉田惠辅,
佐藤祐市,
,
帕布罗·拉雷恩,
星护,
皮弗,
克里斯托夫·奥诺雷,
,
张艺谋,商业主流
韩延,
蒂姆·波顿,
杨庆,
王晶/关智耀,
崔东勋,
拉塞尔·穆卡希,
蒂姆·波顿,
吴宇森,
金容华,
陈正道,
拉加·高斯内尔,
史蒂文·索德伯格,文艺作者
程小东/杜琪峰,
斯科特·沃,
罗泓轸,
乔·庄斯顿,
肯尼·奥特加,
安妮·芳婷,
广木隆一,
周显扬,
郭子健,
丹尼斯·杜根,
彭浩翔,
巴兹·鲁赫曼,
金知云,
大卫·雷奇,
叶念琛,
刘伟强,
大卫·索伦,
伍迪·艾伦,
马克·沃特斯,
大卫·芬奇,商业主流
吉尔·克兰,
万玛才旦,
科迪·卡梅伦/克里斯·皮尔恩,
蒂姆·波顿,
彭秀慧,
野末武志,
游乃海,
王晶,
彭发/彭顺,
叶伟民,
雷献禾/康宁,
佛罗瑞·加仑伯格,
马库斯·邓斯坦,
江海洋,
托德·菲利普斯,
李在容,
杜琪峰,
佐藤东弥,
罗德里戈·格兰德,
入江悠,
S·尚卡尔,
黄泰来,
李锡根,
杰瑞米·德桑/安迪·尼曼,
班庄·比辛达拿刚,
吴琦/高峰,
张俊焕,
石井康晴,
迈克·卡希尔,
高志森,
土井裕泰,
蔡明钦,
凯文·雷诺兹,
韩俊熙,
理查德·艾欧阿德,
小泉德宏,
马克·沃特斯,
方银振,
亚历杭德罗·布鲁格斯,
贾斯汀·库泽尔,
许泰丰,
宾·纳伦,
方令正,
艾什·布兰农/克里斯·巴克,
斯邦瑟·舒瑟,
盖伊·汉弥尔顿,
张勋,
温子仁,
彼得·博格,
,
张之亮,
石挥,
李斗士男,
史文炽,
梁明/穆德远,
张作骥,
朴勋政,
妮琪·卡罗,
鲍兹·亚金,
巴里·索南菲尔德,文艺作者
河合勇人,
蒂尔·施威格,
乔纳斯·佩特,
宫藤官九郎,
富永麻衣,
马克·L·莱斯特,
保罗·达诺,
深川荣洋,
万籁鸣/唐澄/速达/陈志宏,
张元,
三池崇史,文艺作者
黄柏文,
理查德·林克莱特,文艺作者
谢晋,
严浩/杨紫,
山姆·雷米,
林岭东,
守屋健太郎,
,
佐藤东弥,
左伊·R·卡萨维泽,
,
落合正幸,
萧力修/北村丰晴,
卞成贤,
岸善幸,
,
迈克·李,文艺作者
田壮壮,
吉尔莫·德尔·托罗,商业主流
吴美保,
彼得·萨特勒,
王晶/向华胜,
金知云,
让-玛丽·普瓦雷,
艾伦·J·帕库拉,
杜琪峰,
濑濑敬久,
彼得·赫奇斯,
田壮壮,
迈克·内威尔,
李志毅,
艾里克斯·库兹曼,
,
王小帅,
理查德·林克莱特,文艺作者
森义隆,
游川和彦,
桑德拉·内特尔贝克,
青山刚昌,
坂本浩一,
,
,
劉國昌,
,
冢本晋也,
刁亦男,青年独立
冢原亚由子,
克雷格·吉勒斯佩,
克劳迪亚·略萨,
罗伯·科恩,
,
杰夫·尼克尔斯,
迈克尔·扬,
罗伯·威廉姆斯,
彼得·杰克逊,商业主流
扬·德芒热,
蝶野博,
布鲁斯·贝尔斯福德,
赵根植,
,
,
刘汉威,
宋海星,
理查德·林克莱特,文艺作者
贝特朗·芒蒂格,
乔治·A·罗梅罗,
,
,
乔什·拉德诺,
李志毅/陈可辛,
佐藤信介,
洪尚秀,
邱礼涛,
约翰·巴特勒,
,
阿彼察邦·韦拉斯哈古,
约翰·沃特斯,
杜尚·马卡维耶夫,
奥利维埃·马夏尔,
伦纳德·尼莫伊,
黄渤,
周星驰/郭子健,
派蒂·杰金斯,
陈正道,
亚历克斯·嘉兰,
管虎,
罗伯特·斯特罗姆伯格,
杜琪峰,
李玉,
爱德华·兹威克,
刘镇伟,文艺作者
陈可辛,
安妮·弗莱彻,
肖恩·利维,
林书宇,
许仁茂,
巨兴茂,
康拉德·弗农/格雷格·蒂曼,
斯蒂芬·索莫斯,
伊桑·科恩/乔尔·科恩,
费德·阿尔瓦雷兹,
山本泰一郎,
奥利弗·帕克,
什里·那拉扬·辛,
吕克·贝松,
伍迪·艾伦,
马楚成,
泽维尔·吉恩斯,
乔·赖特,
罗兰·艾默里奇,
丹尼·博伊尔,商业主流
朱利亚·迪库诺,
托德·菲利普斯,
卞成贤,
基伦·埃弗瑞·韦恩斯,
刘江,
佐藤信介,
D·J·卡卢索,
罗伯·莱特曼/维基·詹森,
柯受良,
金子文纪,
韦斯·克雷文,
张艾嘉,文艺作者
伍迪·艾伦,
S·S·拉贾穆里,
埃德加·赖特,
姜炯哲,
彭浩翔,
是枝裕和,文艺作者
张元,
皮埃尔·沙尔瓦多利,
约翰·A·戴维斯,
杰伊·罗奇,
泷本智行,
热拉尔·克瓦兹克,
阮世生,
博比·法雷里/彼得·法雷里,
郑芬芬,
梁家树,
史蒂芬·西恩博格,
雷德利·斯科特,商业主流
苏照彬,
马特·里夫斯,
吕乐,
陈会毅,
章家瑞,
周子阳,
西蒙·威尔斯,
索布约恩·克里斯托弗森,
赵锐/克里斯托弗·詹金斯,
理查德·唐纳,
沈成宝,
拉斯·冯·提尔,文艺作者
郭子健/郑思杰,
兰道尔·华莱士,
拉斯·霍尔斯道姆,
侯孝贤,大师派
尹学烈,
张宰贤,
托尼·基格里奥,
特洛伊·达菲,
赵良骏,
特伦斯·戴维斯,
黎大炜,
托比·霍珀,
丹尼尔·科恩,
爱德华·兹威克,
平川雄一朗,
崛川顿幸 (Tonko Horikawa),
约翰·辛格顿,
叶大鹰,
雷尼·哈林,
伊桑·科恩/乔尔·科恩,
高志森,
毕国智,
盖·里奇,
金韩民,
朴英勋,
北野武,文艺作者
弗兰克·奥兹,
洪金宝,
托尼·吉尔罗伊,
伍迪·艾伦,
郭维,
詹姆斯·基彻,
徐克,
沃尔特·拜克,
丹泽尔·华盛顿,
道格·里曼,
,
乔治·拉提夫,
午马,
罗伯特·本顿,
巴瑞·莱文森,
罗兰德·苏索·里希特,
彼得·兰德斯曼,
尼尔·帕尼瑞,
谭雅·维克斯勒,
安德烈·祖拉斯基,
罗恩·安德伍德,
林岭东,
水田伸生,
黄蜀芹,
任弼星,
朱塞佩·托纳多雷,文艺作者
广木隆一,
刘镇伟,文艺作者
盐田明彦,
大卫·休默,
加文·胡德,
让-玛丽·普瓦雷,
马修·海涅曼,
李·杜兰·克里格,
苗月,
丁怡瑱,
约翰·格兰,
行定勋,
阮世生,
大卫·马肯兹,
姜知垠,
高橋直治,
濑濑敬久,
刘易斯·吉尔伯特,
三池崇史,文艺作者
北野武,文艺作者
铃木雅之,
斯蒂文·泽里安,
,
凯瑟琳·哈德威克,
朱莉·德尔佩,
洪尚秀,
雅克·欧迪亚,
瑞恩·雷特尔,
贾樟柯,文艺作者
,
丹尼尔·阿尔弗雷森,
伍迪·艾伦,
本广克行,
大森立嗣,
朗斯·尼美毕达,
钱升玮,
中村义洋,
林德禄,
雷尼·哈林,
袁振洋,
凯内尔·穆德卢佐,
蒂姆·费威尔,
贾明·维南斯,
霍耀良,
尹齐均,
李尚勋,
乔治·卢卡斯,
杰夫·瓦德洛,
罗杰·瓦迪姆,
张柏瑞,
蔡继光,
萨宾·贝尔纳迪,
金宗宽,
梁小熊,
丹尼·雷维,
张律,
理查德·唐纳,
姜文,文艺作者
乔·庄斯顿,
F·加里·格雷,
萨姆·门德斯,
道格拉斯·麦金农,
梁乐民/陆剑青,
麦曦茵,
扎克·施奈德,
马丁·坎贝尔,
吕克·贝松,
黄毅瑜,
西蒙·韦斯特,
福田雄一,
西蒙·韦斯特,
伦·怀斯曼,
拉斯·霍尔斯道姆,
布莱特·拉特纳,
卡米尔·狄拉玛,
戈尔·维宾斯基,文艺作者
赵天宇,
金豪俊,
罗伯特·泽米吉斯,
奥利维尔·米加顿,
詹姆斯·B·罗杰斯,
王小帅,
史蒂文·斯皮尔伯格,文艺作者
彼得·博格,
张一白,
李修贤,
大卫·凯普,
泰伦斯·马力克,文艺作者
杰西·迪伦,
黄精甫,
巴特·弗伦德里希,
乔治·克鲁尼,
沙恩·布莱克,
马丁·坎贝尔,
唐永健,
三池崇史,文艺作者
丹尼斯·维伦纽瓦,商业主流
丹尼斯·杜根,
李亨民,
朴勋政,
元彬,
D·J·卡卢索,
斯派克·琼斯,
大卫·戈登·格林,
拉斯·霍尔斯道姆,
刘观伟,
史蒂夫·欧德科克,
袁和平,
凯文·利玛,
提莫·贝克曼贝托夫,
约翰·汉博格,
罗永浩,
约翰·麦克诺顿,
布拉德·安德森,
乔·赖特,
达伦·阿伦诺夫斯基,
中村义洋,
刘镇伟,文艺作者
章家瑞,
金子文纪,
玛丽埃尔·海勒,
本·萨弗迪/约书亚·萨弗迪,
成龙/黄志强,
加文·欧康诺,
迈克尔·克莱顿,
卡梅伦·凯恩斯/科林·凯恩斯,
吉田秋生/铃木浩介/佐佐木浩久/三宅隆太/丰岛圭介/雨宫庆太/平野俊一,
高丸雅隆/小林義則/佐藤源太/植田泰史/后藤康介,
戈尔·维宾斯基,文艺作者
阿彼察邦·韦拉斯哈古,
萨维里奥·科斯坦佐,
,
大卫·凯普,
王冀邢,
土方政人,
吉田惠辅,
康佑硕,
北川悦吏子,
植田泰史/髙丸雅隆/都築淳一/後藤庸介/岩田和行,
大卫·O·拉塞尔,
莱恩·约翰逊,
吴彦祖,
莎娜·费斯特,
郑益奂,
约翰·格兰,
张鑫炎,
洪尚秀,
,
罗伯特·本顿,
冼杞然,
河野圭太,
西川美和,文艺作者
金成宰,
贾森·雷特曼,
雷宇扬 Simon Lui,
洪尚秀,
埃里克·海瑟尔,
杰夫·尼克尔斯,
李欣蔓,
冢本晋也,
约翰·马登,
尹齐均,
苏珊·史特罗曼,
阿德里安·莱恩,
乌利·埃德尔,
阿伯德拉马纳·希萨柯,
文森特·明奈利,
星护,
霍建起,
韩寒,
宋阳/张吃鱼,
盖瑞·罗斯,
郑芬芬,
今井夏木,
让-雅克·阿诺,
麦兆辉/庄文强,
韦斯·鲍尔,
莱恩·约翰逊,
加文·胡德,
肖恩·利维,
盖瑞·马歇尔,
约瑟夫·科辛斯基,
刘阔,
杜琪峰/韦家辉,
尹力,
山崎贵,
佐米·希尔拉,
巴里·索南菲尔德,文艺作者
李濬益,
斯图尔特·哈泽尔丁,
马伟豪,
陈木胜,
迈克尔·斯派瑞/彼得·斯派瑞,
吉尔莫·德尔·托罗,商业主流
罗伯特·路克蒂克,
刘伟强,
盖尔·曼库索,
斯科特·希克斯,
马克·耐沃尔代,
朗·霍华德,
索尔·迪勃,
牛岛新一郎,
陈友,
莎里·斯宾厄·伯曼/罗伯特·帕西尼,
乔什·特兰克,
林靖杰,
吉尔莫·德尔·托罗,商业主流
山崎贵,
李延宇,
高群书,
特瑞·吉列姆,
王微,
索分·沙达菲斯,
尼克·赫伦,
迈克尔·斯派瑞/彼得·斯派瑞,
罗杰·斯波蒂斯伍德,
马库斯·尼斯佩尔,
洪金宝,
加文·维森,
深川荣洋,
蓝乃才,
三池崇史,文艺作者
沃纳·赫尔佐格,大师派
拉斯·冯·提尔,文艺作者
安吉丽娜·朱莉,
李炳宪,
郭在容,
赵崇邦,
刘国昌,
丹尼尔·伊斯皮诺萨,
,
陈宇,
博比·法雷里/彼得·法雷里,
丹尼·博伊尔,商业主流
斯蒂芬·弗雷斯,
热罗姆·萨尔,
李钟奭,
黄建新,
哈罗德·兹瓦特,
李芸婵,
凯文·麦克唐纳,
徐克,
桥本光二郎,
蒂姆·费威尔,
张内咸,
张艺谋,商业主流
吉列尔莫·莫拉莱斯,
王维明,
金成勋,
保罗·安德森,
洪智暎/林大雄/郑凡植/金曲/金宣/闵奎东,
冯巩/杜民,
安东·梅格尔季切夫,
,
查尔斯·谢尔,
乔·卡纳汉,
蒂姆·波顿,
塞巴斯特·柯代洛,
金基德,
尼科莱·阿尔赛,
边永柱,
本尼德克·菲利格夫,
郭暻泽,
彼得·洛伊德/杰夫·纽威特,
M·奈特·沙马兰,
霍耀良,
泽维尔·多兰,
柯尔姆·麦卡锡,
中岛哲也,
安东·寇班,
,
丽贝卡·米勒,
高志森,
徐啸力,
布莱恩·德·帕尔玛,
理查德·贝里,
托尼·斯科特,
佛朗索瓦·吉拉德,
尼古拉斯·亚雷茨基,
邱礼涛,
李尚宇,
罗德里戈·科尔特斯,
罗伯·鲍曼,
濑濑敬久,
塞巴斯蒂安·莱里奥,
行定勋,
刘家良,
刘易斯·吉尔伯特,
林岭东,
唐季礼 (Stanley Tong),
连奕琦,
李彦禧,
方俊华,
德里克·斯安弗朗斯,
特伦斯·杨,
史蒂芬·西恩博格,
刘易斯·吉尔伯特,
梅拉尼·罗兰,
福田雄一,
马克·福斯特,
F·加里·格雷,
约翰·麦克蒂尔南,
,
约翰·格兰,
彼得·格林纳威,大师派
朴大荣,
杜琪峰,
邢健,
贾斯汀·本森/艾伦·穆尔黑德,
詹姆斯·胡特,
孔水昌,
黄泰来,
西蒙·巴雷特/杰森·埃森纳/加雷斯·埃文斯/格雷格·黑尔/艾德亚多·桑奇兹/提莫·塔哈亚托/亚当·温加德,
托尔斯滕·孔斯特勒/蒂尔·施威格,
艾拉·萨克斯,
盖瑞·马歇尔,
水田伸生,
宋存寿/郁正春,
帕特丽夏·罗兹玛,
保罗·哈吉斯,
凯克·麦罗,
多米尼克·塞纳,
罗素·克劳,
,
张同祖,
若木信吾,
河濑直美,文艺作者
杜琪峰,
许宏宇,
吴京,
宁浩,
毕赣,青年独立
文伟鸿,
彼得·博格,
杜琪峰/韦家辉,
林诣彬,
奥利维尔·米加顿,
刘伟强/麦兆辉,
王晶,
奥利维埃·达昂,
饶晓志,
约瑟夫·麦克金提·尼彻,
索菲亚·科波拉,
拉维·德耶瓦尔,
埃里克·布雷维格,
布莱特·拉特纳,
唐纳德·佩特瑞,
詹姆斯·曼高德,
金泰均,
保罗·安德森,
吉尔莫·德尔·托罗,商业主流
丹·特拉亨伯格,
,
大卫·博维斯,
,
奥利弗·帕克,
杜琪峰/韦家辉,
蒂姆·波顿,
帕特里克·塔特普洛斯,
马凯,
劳伦斯·哥特曼,
本·斯蒂勒,
史蒂芬·贝克,
杨超,
亚当·尚克曼,
李雨禾,
谭家明,
大卫·扎克,
安东尼·福奎阿,
彭浩翔,
吉尔·克兰,
黄朝亮,
陈嘉上,
纳内特·波斯特恩,
菲尔·罗德/克里斯托弗·米勒,
许政,
李权,
杜琪峰,
克利斯汀·迪特,
布莱特·拉特纳,
罗伯特·B·维德,
格雷格·莫托拉,
肖恩·利维,
欧格斯·兰斯莫斯,文艺作者
克里斯蒂安·阿瓦特,
左颂升/元奎,
荒户源次郎,
李仁港,
黎妙雪,
张建亚,
奥列格·特罗费姆,
朱迪·福斯特,
白石和弥,
乔纳森·里贝斯曼,
朱延平,
亚当·温加德,
马小刚,
,
罗德·丹尼尔,
伊万·雷特曼,
尼古拉斯·斯托勒,
麦当杰,
叶天伦,
汤姆·霍兰德,
迈克·弗拉纳根,
冈村天斋,
,
沃尔特·拜克,
园子温,文艺作者
纪里谷和明,
罗伯·劳,
伊万·雷特曼,
琳恩·拉姆塞,
周格泰,
,
盐田明彦,
邱礼涛,
米拉·奈尔,
约翰·埃里克·道达尔,
诺亚·鲍姆巴赫,
李骏硕,
谢庭菡,
蒂姆·斯托瑞,
巴斯卡·劳吉哈,
拉加·高斯内尔,
雷尼·哈林,
黛安·英格利什,
尼古拉斯·斯托勒,
陈德森,
朱延平,
谢尔盖·波德罗夫,
马丁·坎贝尔,
村上正典,
朴贤真,
让-弗朗索瓦·雷切,
詹姆斯·庞索特,
中村义洋,
保罗·范霍文,
叶锦鸿,
山下敦弘,
郭在容,
堤幸彦,
,
大卫·博维斯,
郑则仕,
菲尔·奥尔登·罗宾森,
雪莉·霍曼,
前田司郎/松木創/後藤庸介/村上正典/岩田和行,
,
布拉德·安德森,
斯蒂芬·索莫斯,
赵德胤,
刘家良,
马科斯·吉瓦/丹妮亚·帕斯奎尼,
盖伊·汉弥尔顿,
曾利文彦,
迈克尔·卡顿-琼斯,
玛丽莲·阿格雷诺 Marilyn Agrelo,
金正权,
阿里·阿巴西,
约翰·格兰,
徐克,
理查德·隆克瑞恩,
威廉·夏特纳,
盖伊·汉弥尔顿,
凯瑟琳·布鲁克斯,
娄烨,青年独立
杰瑞德·赫斯,
钱升玮,
肖恩·利维,
永山耕三,
大谷健太郎,
吉田大八,
陈会毅,
马提欧·加洛尼,
杜琪峰,
迈克尔·霍夫曼,
,
刘山姆,
,
罗伯特·雷德福,
埃米利奥·马丁内斯·拉萨罗,
大卫·米奇欧德,
诺姆·穆罗,
广木隆一,
金成洙,
吉姆·贾木许,文艺作者
卡尔·弗兰克林,
卡莉·克里,
罗守耀,
克瑞格·麦克林恩,
康佑硕,
黄熙,
谭家明,
许冠文,
罗杰·米歇尔,
兰斯·戴利,
乔治·乌尔夫,
克利斯宾·米尔斯/克里斯·霍普韦尔,
皮托夫,
D·J·卡卢索,
,
周旭,
罗伯特·沙耶,
林景洙,
陈思诚,
许诚毅,
冯小刚,
扎克·施奈德,
朱浩伟,
杨庆,
周杰伦,
托尼·吉尔罗伊,
亚历克斯·普罗亚斯,
帕特里克·休斯,
岸西,
陈玉勋,
大卫·O·拉塞尔,
杜琪峰,
保罗·安德森,
塞斯·格罗斯曼,
朴正祐,
彭发/彭顺,
李力持,
胡安·卡洛斯·弗雷斯纳迪罗,
乔·努斯鲍姆,
约翰·哈里斯,
亚历山大·阿嘉,
乔纳森·莫斯托,
沃尔夫冈·彼德森,
谷德昭,
大卫·扎克,
张元,
李仁港,
安德斯·穆斯切蒂,
罗伯特·路克蒂克,
伊莱·罗斯,
相国强,
史蒂文·奎里,
黄仁镐,
阿莱克斯·德·拉·伊格莱西亚,
叶念琛,
豪梅·巴拉格罗,
乔恩·费儒,
贾德·阿帕图,
杨树鹏,
董玮,
月川翔,
陈映蓉,
马克·汀戴尔,
加斯帕·诺,
保罗·费格,
郑址宇,
方银振,
丁亮/刘富源,
安迪·坦纳特,
下山天,
夏兰特·卡塔里亚,
叶锦鸿,
刘伟强,
奥拉顿德·奥逊山米,
金东濒,
弗朗索瓦·欧容,
山姆·菲尔/罗伯特·斯蒂芬哈根,
托德·施特劳斯-舒尔森,
王晶,
金炫锡,
彼得·苏列特,
章家瑞,
米凯尔·哈弗斯特罗姆,
崔小芹/孟卫兵,
巴里·索南菲尔德,文艺作者
周全,
蔡尚君,
克里斯托弗·兰登,
伊万·雷特曼,
徐克,
汉斯·皮特·莫朗,
,
许鞍华,
三池崇史,文艺作者
马小刚,
洪志英,
罗卓瑶,
朗·霍华德,
林伟伦,
彼得·格林纳威,大师派
沃尔特·拜克,
格雷格·莫托拉,
郑多元,
赵范九,
乔纳森·戴顿/维莱莉·法瑞斯,
成龙,
,
乔阿吉姆·罗恩尼/艾斯彭·山德伯格,
王晶,
大卫·弗兰科尔,
于仁泰,
清水崇,
荒牧伸志,
全桂洙,
李斗士男,
石井克人/植田泰史/元村次宏/松木創,
园子温,文艺作者
,
弗莱德·戴克尔,
约翰·斯托克韦尔,
安妮·芳婷,
奥利维埃·达昂,
土方政人,
鹤田法男,
李睿珺,
丹尼·德维托,
,
斯科特·弗兰克,
桑木天/刘博文,
叶伟信,
毛弘镇,
文森佐·纳塔利,
英勉,
彼特·R·亨特,
加里·戴维·古德伯格,
盐田明彦,
弗洛朗-埃米利奥·西里,
张艾嘉/袁锦麟,
克里斯·韦兹,
金永卓,
豪尔赫·多拉多,
朴世上,
艾瑞克·范·洛依,
格里高利·霍布里特,
彭发,
罗伯·托马斯,
瑟琳·席安玛,
,
朱莉·德尔佩,
曾志伟,
孙承志,
毛利阳一,
堤幸彦,
丁度·巴拉斯,
林岭东,
薇拉·贝尔蒙,
三木聪,
白云学,
黎大炜/黄泰来,
乔纳森·戴米,
马可·布拉姆贝拉,
托尼·斯科特,
金泰经,
,
郑勇基,
金泓善,
哈罗德·贝克尔,
,
杨明明,
,
,
保罗·迈克尔·格拉泽,
由拉特·史帕克,
陈兴中,
黑泽清,文艺作者
,
林赞相,
金奉柱,
尼古拉斯·温丁·雷弗恩,
刘山姆,
乔恩·卡斯丹,
谢雷·福克森,
阿兰·夏巴,
罗文,
阿托姆·伊戈扬,
劳伦·蒙哥马利,
梁柏坚,
草野翔吾,
张镇,
邓特希,
弗朗索瓦·欧容,
哈罗德·雷米斯,
古泽健,
赵薇,
成龙,
克里斯·韦兹,
张一白,
大卫·斯雷德,
弗洛里安·亨克尔·冯·多纳斯马尔克,
陈国辉,
陈可辛,
尔冬升,
蒂姆·斯托瑞,
彼得·博格,
伊万·雷特曼,
约瑟夫·科辛斯基,
威尔·古勒,
史蒂文·奎里,
李玉,
陈骏霖,
彭三源,
尔冬升,
布莱恩·辛格,
徐克,
元奎,
道格·里曼,
扬·德·邦特,
汤米·奥·哈沃,
曼斯·马林德/比约恩·史坦,
杜琪峰,
让-保尔·萨罗米,
吉姆·费尔德·史密斯,
大卫·S·高耶,
吴子云,
刘浩良,
张一白,
金泰均,
新城毅彦,
约瑟夫·麦克金提·尼彻,
奉俊昊,
帕布罗·拉雷恩,
罗伯特·泽米吉斯,
麦咏麟,
尹载然,
罗德里戈·加西亚,
孙周,
尹齐均,
高桥敦史,
梁家仁,
乔·舒马赫,
佐藤信介,
马楚成,
罗志良,
张时霖,
平尾隆之,
詹姆斯·弗雷,
平野俊一,
鹤桥康夫,
中田秀夫,
弗朗西斯·劳伦斯,
花明,
迈克尔·哈内克,文艺作者
西德尼·波拉克,
斯科特·德瑞克森,
郑勇基,
丁亮/林汇达,
克拉克·约翰森,
吕乐,
肖央,
佐藤信介,
田昀树,
格兰特·赫斯洛夫,
周显扬,
乔恩·阿维奈,
大卫·柯南伯格,
丹尼斯·伊利亚迪,
奥利弗·希施比格尔/詹姆斯·麦克特格,
,
冢本连平,
堤幸彦,
威廉·弗莱德金,
金知云,
蒂姆·希尔,
郭暻泽,
张骁,
曹义锡‍,
斯科特·希克斯,
比格斯·鲁纳,
徐克,
迈克·弗拉纳根,
约翰·卡朋特,
布莱特·拉特纳,
陈大明,
沃尔夫冈·彼德森,
马伟豪,
莱·拉索-扬,
大卫·阿耶,
国东锡,
潘文杰,
安兵基,
克里斯多夫·甘斯,
娄烨,青年独立
乔治·米勒/乔治·奥格尔维,
迈克·尼科尔斯,
佐藤东弥,
布莱恩·罗宾斯,
佐藤东弥,
成岛出,
佐藤信介,
张宰贤,
汤姆·汉克斯,
村上正典,
马尔科姆·文维尔,
文斯·马塞洛,
陈大利,
川崎博嗣,
,
拉斯·霍尔斯道姆,
河毛俊作/石川淳一/笕昌也/都築淳一/佐藤源太,
李京美,
卡尔·布伦克尔,
伊丽莎·希特曼,
戴思睿·阿卡万,
S·克雷格·扎勒,
内德·本森,
熊切和嘉,
颜正国,
李元硕,
艾伦·J·帕库拉,
朱延平/金鳌勋,
王晶,
尼察庞·恰阿努,
,
史蒂夫·威廉姆斯,
菲利普·诺伊斯,
刘镇伟,文艺作者
,
安东尼·莱昂迪斯,
布尔·斯蒂尔斯,
霍耀良,
沃尔特·希尔,
米密·莱德,
金东元,
成龙,
汤姆 霍兰 (Tom Holland),
乔纳森·索博尔,
迈克尔·道斯,
大卫·弗兰科尔,
佐藤祐市,
朱拉·亚库比斯克,
金泰昆,
大卫·戈登·格林,
,
哈迪 ·哈杰格,
由拉特·史帕克,
刘畅,
,
克雷格·布鲁尔,
泰迪·罗宾,
三浦大辅,
杉山庆一,
,
迪伦·基德,
雨宫庆太/铃木卓尔/丰岛圭介,
钱月笙,
徐克,
保罗·安德森,
唐季礼,
詹姆斯·曼高德,
加里斯·爱德华斯,
保罗·安德森,
丹尼尔·伊斯皮诺萨,
乔纳森·里贝斯曼,
罗志良,
朱浩伟,
马克·斯蒂文·约翰逊,
杜琪峰/韦家辉,
闵奎东,
奥利佛·斯通,
阿甘,
阮世生,
亨利·朱斯特/阿里尔·舒曼,
史蒂文·R·蒙若尔,
杜琪峰/罗永昌,
伊丽莎白·艾伦,
阮世生,
克里斯多夫·甘斯,
马伟豪,
查克·拉塞尔,
何平,
乔·卡纳汉,
贾德·阿帕图,
罗布·施密特,
三池崇史,文艺作者
列万·加布里阿泽,
王晶/麦子善,
陈德森,
D·J·卡卢索,
斯蒂夫·平克,
英勉,
徐静蕾,
迈克尔·道赫蒂,
朴赞郁,
佩顿·里德,
庾河,
大卫·道金,
乔·林奇,
威廉·莫纳汉,
李霄峰,
黄健中,
M·奈特·沙马兰,
乔·舒马赫,
艾瑞克·莎莫/艾瑞克·韦林,
郑保瑞,
崔震东,
中岛哲也,
鲁本·弗雷斯彻,
汤姆·沃恩,
郑凡植,
叶念琛,
巴塔萨·科马库,
安东·寇班,
汤姆·麦卡锡,
章明,
巴塔萨·科马库,
莱因哈德·克洛斯/霍尔格·塔佩,
乌维·鲍尔,
,
卢克·格林菲德,
索菲亚·科波拉,
赵容善,
卢庚戌,
尹钟彬,
埃尔韦·雷诺阿,
洪基善,
卢克·格林菲德,
顾伦德·查达哈,
皮埃尔·莫瑞尔,
侯季然,
沈威,
