DIRECTORS,LABEL
理查德·阿滕伯勒,
汤姆·沙迪亚克,
近藤光,
诺曼·杰威森,
高雄统子,
扬·特洛尔,
大塚恭司,
敕使河原宏,
森田芳光,
德里克·贾曼,
亚历桑德罗·佐杜洛夫斯基,
小池健,
埃兰·德万 (Allan Dwan),
陈玉勋,
斯蒂芬·赫瑞克,
吉洛·彭泰科沃,
肖娜·奥尔巴赫,
让-皮埃尔·梅尔维尔,大师派
浅香守生,
雅克·范·多梅尔,
福富博,
芝山努,
石原立也,
巴克迪亚·库唐纳扎洛夫,
王童,
理查德·莱斯特,
卡洛斯·绍拉,
比利·怀德,
新房昭之/尾石达也,
前田真宏/中泽一登/大平晋也/田中达之/森本晃司,
,
杨·史云梅耶,
成濑巳喜男,
新海诚,动画导演
延尚昊,
邓肯·琼斯,
克里斯托弗·史密斯,
陈可辛,
宫崎骏,动画导演
布拉德·伯德/简·皮克瓦,
关锦鹏,文艺作者
昆汀·塔伦蒂诺,商业主流
阿布戴·柯西胥,
罗泓轸,
马丁·斯科塞斯,文艺作者
崔洋一,
张艾嘉,文艺作者
程小东,
拉斯·冯·提尔,文艺作者
朱塞佩·托纳多雷,文艺作者
李安,大师派
贾樟柯,文艺作者
罗伯特·泽米吉斯,
高畑勋,动画导演
马克·伯顿/理查德·斯塔扎克,
李濬益,
约瑟夫·鲁斯纳克,
安东尼·马拉斯,
雷德利·斯科特,商业主流
游达志,
张婉婷,
张建亚,
诺拉·托梅,
卡伦·乔哈尔,
,
汤姆·摩尔/诺拉·托梅,
瑞恩·墨菲,
罗丝·博斯,
北野武,文艺作者
罗伯·莱纳,
荻上直子,
沃尔特·塞勒斯,
萨米埃尔·本谢特里,
马丁·斯科塞斯,文艺作者
罗曼·波兰斯基,
英格玛·伯格曼,
王颖,
赛尔乔·莱昂内,
恩斯特·马里施卡,
诺亚·鲍姆巴赫,
盖瑞·罗斯,
让-吕克·戈达尔,大师派
托马斯·卡特,
罗维,
米夏埃尔·赫尔比希,
大卫·里恩,
莉娜·亚达夫,
英格玛·伯格曼,
弗雷德·金尼曼,
泰勒·海克福德,
潘礼平/陆剑梅/刘玉洁,
让-皮埃尔·梅尔维尔,大师派
丹尼斯·霍珀,
拉斯·克劳梅,
埃里克·侯麦,大师派
路易斯·布努埃尔,
荣·伊斯特,
小林正树,大师派
洼冈俊之,
米开朗基罗·安东尼奥尼,文艺作者
科里夫·斯丹德斯,
伍迪·艾伦,
马俪文,
马克·布鲁蒙德,
降旗康男,
许鞍华,
沃尔特·朗/威廉·A·塞特尔,
西浦正记,
让-吕克·戈达尔,大师派
沈耀庭,
阿基·考里斯马基,
井内秀治,
埃里克·侯麦,大师派
胡金铨,
伊丹十三,
吉姆·罗斯·斯图尔特,
雅克·范·多梅尔,
埃里克·侯麦,大师派
约翰·斯特奇斯,
克洛德·勒卢什,
弗朗索瓦·特吕弗,大师派
黑泽明,大师派
雅克·塔蒂,文艺作者
埃里克·侯麦,大师派
维克多·萨尔瓦,
让·雷诺阿,
杨·史云梅耶,
霍华德·齐耶夫,
伍迪·艾伦,
陈坤厚,
芝山努,
菲利普·里奥雷,
萨布,
武本康弘,
文森特·明奈利/乔治·库克,
小津安二郎,大师派
新房昭之/尾石达也,
皮亚托·杰米,
拉兹·卡普尔,
寺山修司,
,
克萨韦·施瓦岑贝格尔,
普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭,
周申/刘露,
斯里兰姆·拉格万,
新海诚,动画导演
布拉德·伯德,
丹尼斯·维伦纽瓦,商业主流
忻钰坤,
安德鲁·斯坦顿/李·昂克里奇,
楚克·萨克瑞科,
许鞍华,
尼尔·乔丹,
徐昂,
乔纳森·戴顿/维莱莉·法瑞斯,
乔·赖特,
克林特·伊斯特伍德,
西谷弘,
黄东赫,
高志森,
科斯汀·谢里丹,
昆汀·塔伦蒂诺,商业主流
南希·迈耶斯,
马克·韦布,
罗伯·莱纳,
武正晴,
安南德·图克尔,
弗兰克·威利,
韦斯·安德森,文艺作者
吴宇森,
安东·梅格尔季切夫,
格里高利·霍布里特,
泰勒·海克福德,
乔治·卢卡斯,
林岭东,
姜帝圭,
理查德·马昆德,
陈可辛,
罗曼·波兰斯基,
保罗·范霍文,
大森立嗣,
荻上直子,
尔冬升,
张杨,
格斯·范·桑特,
布莱恩·德·帕尔玛,
贾樟柯,文艺作者
李海准,
克莱德·杰洛尼米/威尔弗雷德·杰克逊/汉密尔顿·卢斯科,
陈朱煌,
沃尔克·施隆多夫,
达伦·阿伦诺夫斯基,
汉密尔顿·卢斯科/宾·沙普斯坦,
阿尔弗雷德·希区柯克,
王川/张钢/周洁,
伊利亚·卡赞,
李沧东,
罗德·拉里,
大根仁,
三谷幸喜,
侯孝贤,大师派
谢飞,
吉姆·贾木许,文艺作者
弗朗索瓦·欧容,
马修·沃楚斯,
田中亮,
叶伟信,
成岛出,
妮琪·卡罗,
约翰·施莱辛格,
亚历杭德罗·阿梅纳瓦尔,
安藤桃子,
艾伦·帕克,
卢克·迪昂,
岸善幸,
柯蒂斯·汉森,
亚历山大·西伯恩/伯努瓦·菲利,
卡罗尔·里德,
贝纳尔多·贝托鲁奇/克莱尔·德尼/迈克·菲吉斯/让-吕克·戈达尔/伊利·曼佐/迈克尔·莱德福/沃尔克·施隆多夫/伊斯特凡·萨博,
斯特凡·科曼达雷夫,
艾伦·J·帕库拉,
安迪·威尔逊,
竹中直人,
约翰·朗斯伯里/沃夫冈·雷瑟曼,
齐德·多尔里,
埃里克·侯麦,大师派
罗伯特·布列松,大师派
芹川有吾,
尚皮耶·亚莫斯,
彼特·纳斯,
犬童一心,
胡里奥·密谭,
桑杰·里拉·彭萨里,
北野武,文艺作者
乔治·库克,
阿努拉格·巴苏,
理查德·J·刘易斯,
周防正行,
莱奥·麦卡雷,
米开朗基罗·安东尼奥尼,文艺作者
约翰·福特,
小椋久雄/星护/铃木雅之/落合正幸,
克洛德·齐迪,
特瑞·琼斯/特瑞·吉列姆,
克里斯·哥伦布,
凯瑟琳·哈德威克,
法提赫·阿金,
萨姆·佩金帕,
伍迪·艾伦,
斯蒂芬·埃利奥特,
姜秀琼,
菅原伸太郎,
黑泽明,大师派
芝山努,
侯孝贤,大师派
林泰亨,
罗伯特·布列松,大师派
路易斯·布努埃尔,
今村昌平,大师派
芝山努,
克洛德·索泰,
仓内均,
佐藤纯弥,
押井守,
降旗康男,
阿基·考里斯马基,
,
大卫·巴特勒,
罗兰·约菲,
罗伯特·布列松,大师派
海法·曼苏尔,
让-丹尼尔·维哈吉,
罗内特·艾尔卡贝兹/施洛米·艾尔卡贝兹,
英格玛·伯格曼,
托尼·克莱格/罗伯茨·甘纳韦,
沟口健二,大师派
,
阿涅斯·瓦尔达,大师派
托马斯·温特伯格,文艺作者
笕昌也/植田泰史/木下高男/都築淳一,
罗伯托·罗西里尼,
西奥·安哲罗普洛斯,大师派
伊斯特凡·萨博,
兰德尔·克莱泽,
乔恩·费儒,
郭在容,
迈克尔·贝,
曹保平,
昆汀·塔伦蒂诺,商业主流
戈尔·维宾斯基,文艺作者
土井裕泰,
肖恩·利维,
新海诚,动画导演
朱里安·杰拉德,
伍仕贤,
内森·格雷诺/拜伦·霍华德,
让-雅克·阿诺,
汤姆·霍珀,
约翰·拉塞特/艾什·布兰农/李·昂克里奇,
安德烈斯·拜斯,
马克·福斯特,
詹姆斯·卡梅隆,
彭浩翔,
雷德利·斯科特,商业主流
阿方索·卡隆,文艺作者
程伟豪,
保罗·索伦蒂诺,大师派
张荣吉,
贝尼特·米勒,
戴维·汉德,
乔尔·科恩/伊桑·科恩,
张艾嘉,文艺作者
梅峰,
约翰·麦克蒂尔南,
菲利普·考夫曼,
尼克·卡萨维茨,
罗曼·波兰斯基,
冲浦启之,
潘文杰,
奥利佛·斯通,
陈木胜,
让-巴普蒂斯特·安德烈,
冯小宁,
亚历杭德罗·戈麦斯·蒙特维尔德,
侯孝贤,大师派
新海诚,动画导演
阿尔弗雷德·希区柯克,
维克多·弗莱明,
陈果,
阿瑟·佩恩,
米娅·汉森-洛夫,
姜炯哲,
吴宇森,
富兰克林·沙夫纳,
马丁·斯科塞斯,文艺作者
何平,
海琳·吉罗/托马斯·绍博,
丹尼尔·里贝罗,
约翰·克劳利,
保罗·托马斯·安德森,文艺作者
蒂姆·波顿,
莉莉·沃卓斯基/拉娜·沃卓斯基,
泽维尔·多兰,
佐藤纯弥,
李志毅,
杰伊·欧力瓦,
岩井俊二,文艺作者
迈克尔·曼,
万古蟾,
肯·洛奇,文艺作者
北野武,文艺作者
吉勒斯·米莫尼,
罗伯特·高洛斯,
陈伟文,
陈小娟,
许冠文,
理查德·弗莱彻/深作欣二/舛田利雄,
行定勋,
黄健中,
吉约姆·卡内,
三浦贵博,
威廉姆·H·梅西,
莎莉·波特,
原田真人,
西浦正记/叶山浩树,
罗伯特·Z·伦纳德,
尼古拉·瓦尼埃,
罗伯特·摩尔,
窪田崇,
西尔维斯特·史泰龙,
严定宪,
长尾武奈,
詹同,
苏里,
许冠文,
塚本连平,
克里斯·韦兹,
F·W·茂瑙,
乔治·罗伊·希尔,
吉姆·贾木许,文艺作者
维克多·萨尔瓦,
张作骥,
小乔治·提尔曼,
菲利普·里奥雷,
郑大圣,
李娜静,
米歇尔·欧斯洛,
罗曼·波兰斯基,
赵崇基,
,
罗伯特·奥尔德里奇,
罗伯特·布列松,大师派
长谷井宏纪,
刘山姆/劳伦·蒙哥马利,
森田芳光,
埃默里克·普雷斯伯格/迈克尔·鲍威尔,
彼得·博格,
托娃·马格努松,
罗贝尔·恩里科,
琳恩·拉姆塞,
弗兰克·奥兹,
,
新房昭之/尾石达也,
迈克尔·艾普特,
马丁·斯科塞斯,文艺作者
宁浩,
三木康一郎/星田良子/植田泰史/佐藤源太/木下高男,
卡罗莉内·林克,
山田洋次,
市川昆,
野村芳太郎,
哈尔·阿什贝,
阿布戴·柯西胥,
罗伊·安德森,文艺作者
阿巴斯·基亚罗斯塔米,大师派
奥托·普雷明格,
泷本智行,
罗伊·安德森,文艺作者
芝山努,
,
武藤信宏,
,
严浩,
迈克尔·卡顿-琼斯,
西德尼·波拉克,
西牧秀夫,
绪方明,
海科特·巴班克,
安德里亚·加西亚/维克多·马尔多纳多,
,
雷吉斯·瓦格涅,
,
威廉·惠勒,
查尔斯·马丁·史密斯,
迈克尔·卡顿-琼斯,
汤山邦彦,
理查德·布鲁克斯,
迈克·李,文艺作者
奥利佛·斯通,
伍迪·艾伦,
芝山努,
寺山修司,
张暖忻,
饶晓志,
九把刀,
庄文强,
曹保平,
陈国富/高群书,
道格·里曼,
鲁伯特·瓦耶特,
郑芬芬,
丹·斯坎隆,
斯坦利·库布里克,大师派
史蒂文·斯皮尔伯格,文艺作者
巴里·索南菲尔德,文艺作者
布拉德·伯德,
马克·奥斯本,
史蒂文·斯皮尔伯格,文艺作者
汤姆·提克威,
布莱恩·德·帕尔玛,
卡洛斯·沙尔丹哈,
麦克·特米尔/史蒂夫·马蒂诺,
保罗·金,
吴天明,
亚历杭德罗·阿梅纳瓦尔,
雷德利·斯科特,商业主流
萨姆·门德斯,
弗朗西斯·韦贝尔,
理查德·拉·格拉文斯,
巴伦·博·欧达尔,
马丁·麦克唐纳,
加布里埃莱·穆奇诺,
乔·庄斯顿,
彼得·勒文,
顾长卫,
乔治·卢卡斯,
亚历山大·雅丁,
A.R.目虏古多斯,
矢口史靖,
彼得·拉姆齐,
彼得·博格,
乔治·库克,
蜷川实花,
弗兰克·奥兹,
阿方索·戈麦斯-雷洪,
郑保瑞,
林爱华,
佐佐部清,
赵良骏,
托尼·斯科特,
罗志良,
克林特·伊斯特伍德,
新海诚,动画导演
李·丹尼尔斯,
莱奥·卡拉克斯,文艺作者
佩德罗·阿莫多瓦,文艺作者
罗曼·波兰斯基,
郝杰,
迈克·菲吉斯,
永井聪,
让-皮埃尔·热内,文艺作者
康佑硕,
迈克尔·哈内克,文艺作者
大森立嗣,
阿尔弗雷德·希区柯克,
河濑直美,文艺作者
罗曼·波兰斯基,
努里·比格·锡兰,文艺作者
黑泽清,文艺作者
大卫·林奇,文艺作者
莎拉·加芙隆,
西谷弘,
罗伯特·雷德福,
关口现,
陈俊彦,
弗朗索瓦·欧容,
弗朗索瓦·特吕弗,大师派
真田敦,
山田洋次,
吉姆·贾木许,文艺作者
杜奇奥·泰萨利,
拉斯·冯·提尔,文艺作者
达内尔·马丁,
埃里克·侯麦,大师派
铃木雅之,
陈果,
陈凯歌,
阿尔弗雷德·希区柯克,
阿托姆·伊戈扬,
弗朗西斯·福特·科波拉,大师派
查理·考夫曼,
卓娅·阿赫塔尔,
,
埃里克·侯麦,大师派
胡金铨,
罗斯·卡兹,
托尼·斯科特,
让-皮埃尔·达内/吕克·达内,
达斯汀·霍夫曼,
伍迪·艾伦,
