导演,主要电影豆瓣ID,tag
托马斯·温特伯格,6985810 30323120 24875641 1292908 30234891 24716045 26684528 3284392 1309098 1766559,文艺作者
约阿希姆·提尔,34447553 25785124 26755583 6109756 36413501 10484125 2003397,文艺作者
努里·比格·锡兰,21770915 26878883 1307921 5959260 3077840 1300827,文艺作者
西奥·安哲罗普洛斯,1293455 1294252 1388180 1294573 2027945 1302789 1294534 2001296 1295759 1298428 1294615 1389976 1301103 1293127 6397141,大师派
欧格斯·兰斯莫斯,35350109 20514947 26628282 3706859 26724989 4924800 34790474,文艺作者
安德烈·塔可夫斯基,1299248 1291556 1300977 1295656 1294421 1294531 1298248 1308609 34680793 1429059 1758376 2342769 1431980 2296678,大师派
谢尔盖·帕拉杰诺夫,1440106 1303542 1303337 1417918 1475269 1449779 1450058 2004416,大师派
埃莱姆·克里莫夫,1422186 2137676,文艺作者
阿列克谢·格尔曼,35172008 2368633,大师派
亚历山大·索科洛夫,10491649 3731625,文艺作者
安德烈·兹维亚金采夫,24525283 26785590 1308074 1962160,大师派
阿斯哈·法哈蒂,3445575 34966906 10765742,大师派
贾法·帕纳西,26304167 35900179 1825608 1306587,大师派
马吉德·马吉迪,1303021 25805039 1304406 2138467 35159294 1305620 4885915,大师派
萨蒂亚吉特·雷伊,34797448 34797455 35480049 36087673 35335866,文艺作者
冈萨雷斯·伊纳里图,1292216 35268575 1296472 ,文艺作者
阿方索·卡隆,35580293 36660929 37038596 35683847 35271914,文艺作者
吉尔莫·德尔·托罗,3927767 2675852 1767042 5323968 1308851 1873750,商业主流
卡洛斯·雷加达斯,5954958 2002721 1476677 26653374,文艺作者
费尔南多·梅里尔斯,1292208 27132510 1419856 2028634 4918498,文艺作者
刘镇伟,1292213 1299398 1291543 1298644 1299765 1307323,文艺作者
庵野秀明,1308892 10428501 2567646 1968790 2567647 1455442 26279124,动画导演
张艾嘉,26773744 1292289 25718082 1308130 3005496,文艺作者
张艺谋,1292365 4864908 35766491 35051512 3649049 32493124 36208094 21352814 1293323 4151110 1306123 1306505 35215390 35294995 30257787 1296436 1299365 1294007 1294963 1300108 1422952 1292900 1297743,商业主流
吴念真,1292434 1294194 1292330 1295285,文艺作者
关锦鹏,1292434 1299288 1308076 1293414 1297036,文艺作者
米开朗基罗·安东尼奥尼,1291558 1309029 1310176 1292327 1361252 1299261 1293105 1389923 1297546 1293623,文艺作者
万马才旦,30204413 30283179 26586806 35811006 1756057,文艺作者
姜文,3742360 26366496 1291858 1291875 1766086,文艺作者
西川美和,34863472 1796995 26581774 3138605 6535907 1963069,文艺作者
简·马格努森,24875641 26772229,文艺作者
大岛渚,1303535 1292790 2027945 1294588 1303691 1302766 1305020,文艺作者
文牧野,26752088 32659890 35312437 25917964 24869508,青年独立
