DIRECTOR,相近导演,主要电影豆瓣ID,LABEL
昆汀·塔伦蒂诺,罗伯特·罗德里格兹、盖·里奇、科恩兄弟,1441952 10575369 21339337 25735492 1291832 6307447 1778624 10756537 1438652 25787888 25824388 1547103 1299603 1291580 1309027 30295871 30287737 35204853 4142958 1291584 4142966 3118684 4142973 35472773 1295324,好莱坞商业导演
是枝裕和,黑泽清、今村昌平、河濑直美、小津安二郎,35797709 10571509 4832288 35192111 3534824 1306885 26952153 1294413 10777710 35727023 30140107 36624293 1294533 27622447 1292337 2222996 25895901 26694988,日本新浪潮
朗·霍华德,,,好莱坞商业导演
朱塞佩·托纳多雷,保罗·索伦蒂诺、贝托鲁奇、让-皮埃尔·热内,1292001 1292402 1291828 7059671 1292995 1878616 25735492 25904974 2265111 1294733 1303033 1293661,意大利现代主义
朱浩伟,,,中国作者导演
李安,王家卫、冯小刚（都市段）、张艺谋（中期）、杨德昌,1929463 1828115 1418834 1291818 1301168 1303037 3097572 1299193 1306939 1307354 1300930 25983044,中国作者导演
杨德昌,侯孝贤、蔡明亮、王家卫、是枝裕和,1292434 1304476 1305261 1297418 1308146 1305327 1298871 27059242 26827770,台湾新浪潮
林克莱特,,,美国独立导演
林恩·拉姆塞,,,中国作者导演
格蕾塔·葛韦格,诺亚·鲍姆巴赫、索菲亚·科波拉、理查德·林克莱特,26348103 4058939 26588314 11527487,美国独立导演
欧格斯·兰斯莫斯,迈克尔·哈内克、奥利维耶·阿萨亚斯、加斯帕·诺埃,35350109 20514947 26628282 3706859 26724989 4924800 34790474,美国独立导演
毕赣,蔡明亮、王家卫、阿彼察邦、莱奥·卡拉克斯,26633257 26337866 35788143,中国作者导演
沃纳·赫尔佐格,维姆·文德斯、法斯宾德、索科洛夫,1297105 2237378 1296583 3073648 35857538 1306002 1785166 6536657 1296646 1422951,欧洲作者导演
沟口健二,小津安二郎、市川崑、小林正树、黑泽明,1303577 1303603 1303573 1303600 1303602 1293329 1297208 1466788,日本剑戟片
河濑直美,是枝裕和、若木信吾、今泉力哉,25905124 1401347 33427533 1302015,日本剑戟片
法斯宾德,,,欧洲作者导演
泰伦斯·马力克,阿方索·卡隆、史蒂文·索德伯格、理查德·林克莱特,2336735 1292781 1293232 26823502 1297422 4301268,美国独立导演
渡边信一郎,,,欧洲作者导演
王兵,,,中国作者导演
王家卫,贾樟柯、李安、杨德昌、索菲亚·科波拉,1291999 1292328 1291557 1292679 3821067 1305690 34874646 1291555 1298112 1304624 1499148 1309029,中国作者导演
王小帅,,,中国作者导演
玛伦·阿德,克里斯蒂安·佩措尔德、安吉拉·尚莱克、迈克尔·哈内克,24872189 35101435 26627754 35211729 10438585,好莱坞商业导演
理查德·林克莱特,诺亚·鲍姆巴赫、索菲亚·科波拉、科恩兄弟,36742578 36913754 35898983 30142421 21354767 26959518 26865177 25823656 26301728 26681652 25893369 2209575 10808442 10438697 5323881 1865009 1291990 1304981 2049772 1296339 1292268 1428096,美国独立导演
瑞恩·库格勒,,,美国独立导演
盖·里奇,,,好莱坞商业导演
科恩兄弟,保罗·托马斯·安德森、昆汀·塔伦蒂诺、林克莱特,35774682 33386178 27623155 26952704 2133433 26671380 2058751 25908051 25919897 10548265 24297912 25833557 6887029 1891157 3626372 3135483 2054933 2027945 1857099 1783772 1422916 1306032 1292264 1300044 1302542,美国独立导演
科波拉,,,好莱坞商业导演
穆森·马赫马巴夫,,,伊朗新电影
简·马格努森,,24875641 26772229,欧洲作者导演
米克洛什·扬索,贝拉·塔尔、谢尔盖·帕拉杰诺夫、埃莱姆·克里莫夫,1301261 1771244 1462674 1434432 1401913 1786161 1765803 3346295 4268586,好莱坞商业导演
米开朗基罗·安东尼奥尼,费里尼、贝托鲁奇、保罗·索伦蒂诺,1291558 1309029 1310176 1292327 1361252 1299261 1293105 1389923 1297546 1293623,意大利现代主义
米林宏昌,,,日本新浪潮
米歇尔·冈德里,,,欧洲作者导演
索科洛夫,,,欧洲作者导演
索菲亚·科波拉,,,女性作者导演
约阿希姆·提尔,保罗·托马斯·安德森、韦斯·安德森、约阿希姆·罗恩,34447553 25785124 26755583 6109756 36413501 10484125 2003397,美国独立导演
约阿希姆·罗恩,,,好莱坞商业导演
细田守,,,日本动画导演
维克多·艾里斯,,,好莱坞商业导演
维姆·文德斯,沃纳·赫尔佐格、赖纳·维尔纳·法斯宾德、克里斯蒂安·佩措尔德,35902857 1292212 1302061 1291558 1292504 10741871 2027945 1291563,欧洲作者导演
维托里奥·德·西卡,,,欧洲作者导演
罗伊·安德森,大卫·林奇、鲁本·奥斯特伦德、佩德罗·科斯塔,6521506 1295877 2002696 26884422 1463934 1472927 10779912 1949698 26357883 2039326,欧洲作者导演
罗伯·马歇尔,,,好莱坞商业导演
罗伯特·布列松,安德烈·塔可夫斯基、克日什托夫·基耶斯洛夫斯基、卡尔·西奥多·德雷耶,1303559 1401619 1440978 1294782 1303536 1303562 1303549 1302413 1401618,欧洲作者导演
罗伯特·泽米吉斯,,,好莱坞商业导演
罗伯特·罗德里格兹,,,好莱坞商业导演
罗曼·波兰斯基,,,欧洲作者导演
罗梅,,,欧洲作者导演
肖恩·利维,,,欧洲作者导演
肯·洛奇,迈克·李、达内兄弟、努里·比格·锡兰,30209084 26653676 1780122 1297920 1301866 6396294,欧洲作者导演
若木信吾,,,欧洲作者导演
莱奥·卡拉克斯,奥利维耶·阿萨亚斯、克莱尔·德尼、让-皮埃尔·热内,1963721 26856202 2004482 1302907 1301678 1291559 6875451 36436286,好莱坞商业导演
萨姆·门德斯,,,好莱坞商业导演
萨蒂亚吉特·雷伊,古尔·达特、姆里纳尔·森、里特维克·加塔克,34797448 34797455 35480049 36087673 35335866,中国作者导演
蒂姆·伯顿,,,中国作者导演
蔡明亮,侯孝贤、杨德昌、毕赣、阿彼察邦,1296370 1307561 1308988 1307991 10771216 1304862 1303456 34868361 1871738 1307909 3148588 3023669,台湾新浪潮
行定勋,,,中国作者导演
西奥·安哲罗普洛斯,克日什托夫·基耶斯洛夫斯基、安德烈·塔可夫斯基、谢尔盖·帕拉杰诺夫,1293455 1294252 1388180 1294573 2027945 1302789 1294534 2001296 1295759 1298428 1294615 1389976 1301103 1293127 6397141,欧洲作者导演
西川美和,,34863472 1796995 26581774 3138605 6535907 1963069,好莱坞商业导演
詹姆斯·卡梅隆,,,好莱坞商业导演
让-吕克·戈达尔,弗朗索瓦·特吕弗、埃里克·侯麦、克洛德·夏布罗尔、阿伦·雷乃,1300056 26764928 1353745 1292533 1296757 1294565 1291564 1293849 1303555 1302589 1316524 1294341 1296338 10465148 26830774 1300522 1301677 1301217 1300964 1401588,欧洲作者导演
让-皮埃尔·梅尔维尔,克洛德·夏布罗尔、弗朗索瓦·特吕弗、罗曼·波兰斯基,1401915 1300966 1299521 1466419 1301658 1466403 1466412 1353745 ,欧洲作者导演
