MOVIE_ID,NAME
1294639,勇敢的心
6311303,加勒比海盗5：死无对证
3227410,加勒比海盗4：惊涛怪浪
1418192,加勒比海盗3：世界的尽头
1315574,加勒比海盗2：亡灵的宝藏
30334073,调音师
27119724,小丑
26100958,复仇者联盟4：终局之战
1309069,蝙蝠侠：侠影之谜
3395373,蝙蝠侠：黑暗骑士崛起
1578507,谍影重重3
1780330,致命魔术
10512661,银翼杀手2049
1300555,回到未来
25864085,火星救援
1300656,终结者
1291844,终结者2：审判日
1291843,黑客帝国
1291571,指环王1：护戒使者
1291572,指环王2：双塔奇兵
1291579,怪兽电力公司
1291574,玩具总动员2
1291575,玩具总动员
1858711,玩具总动员3
1291583,天空之城
1291552,指环王3：王者无敌
1851857,蝙蝠侠：黑暗骑士
1292720,阿甘正传
1308807,哈尔的移动城堡
1291543,功夫
1306249,唐伯虎点秋香
5322596,超脱
1292370,剪刀手爱德华
1298070,加勒比海盗
1292274,幸福终点站
1303021,小鞋子
3287562,神偷奶爸
26580232,看不见的客人
2353023,驯龙高手
1299398,大话西游之月光宝盒
1298624,闻香识女人
1907966,疯狂原始人
26787574,奇迹男孩
1292656,心灵捕手
2131459,机器人总动员
2129039,飞屋环游记
1306029,美丽心灵
1295124,辛德勒的名单
25958717,海蒂和爷爷
1867345,遗愿清单
1305487,猫鼠游戏
1292063,美丽人生
1291549,放牛班的春天
26393561,小萝莉的猴神大叔
6786002,触不可及
1929463,少年派的奇幻漂流
4920389,头号玩家
1652587,阿凡达
1849031,当幸福来敲门
1292213,大话西游之大圣娶亲
26387939,摔跤吧！爸爸
27060077,绿皮书
20495023,寻梦环游记
1292064,楚门的世界
1292001,海上钢琴师
3742360,让子弹飞
1889243,星际穿越
3319755,怦然心动
3793023,三傻大闹宝莱坞
25662329,疯狂动物城
3541415,盗梦空间
1291546,霸王别姬
1291561,千与千寻
1295644,这个杀手不太冷
